# round T HPWL_eq HPWL_w WNS TNS maxL viol_cnt picked w_mean w_std w_cv w_median w_min w_max w_gini w_top10 jump_man jump_euc orient_flip maxEdge_type maxEdge_i maxEdge_j solve_ms feasible avg_jump
94 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.013103 1 1.494624
95 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.668514 1 1.478723
96 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.007452 1 1.463158
97 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.771418 1 1.447917
98 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.725420 1 1.432990
99 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.838164 1 1.418367
100 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.623228 1 1.404040
101 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.926761 1 1.390000
102 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.702487 1 1.376238
103 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.597489 1 1.362745
104 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.546224 1 1.349515
105 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.650750 1 1.336538
106 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.673494 1 1.323810
107 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.681989 1 1.311321
108 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.755929 1 1.299065
109 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.620803 1 1.287037
110 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.807767 1 1.275229
111 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.542206 1 1.263636
112 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.979860 1 1.252252
113 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.917534 1 1.241071
114 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.604613 1 1.230088
115 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.386647 1 1.219298
116 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.858261 1 1.208696
117 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.985391 1 1.198276
118 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 17.047557 1 1.188034
119 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.907514 1 1.177966
120 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.768231 1 1.168067
121 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.730280 1 1.158333
122 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.661010 1 1.148760
123 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.705013 1 1.139344
124 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.819127 1 1.130081
125 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.679564 1 1.120968
126 12 488 594000 1 0 11 0 0 1196.428571 397.296348 0.332069 1000.000000 1000 2000 0.131930 0.179104 0.000000 0.000000 0 V 1 0 16.785134 1 1.112000
